title,content,date,variant,images,verified,author,rating,product,url
Good,Good product :-),26 Apr 2023,Colour: White,,No,Tannu,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2
It's good for in this cost,I like but it didn't match my profile,20 Apr 2023,Colour: White,,Yes,shashikant kumar,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2
Service,4months before I bought this item. Now not working. Help me how to return this item.,11 Apr 2023,Colour: White,,Yes,Amazon Customer,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2
The date and time changer is missing,The date and time changer is missing Returned the item,16 May 2023,Colour: White,https://m.media-amazon.com/images/I/61pHYK4ADpL._SY88.jpg,Yes,Sunil Kumar Shukla,3.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2
Quality,It has mild colour damage,18 May 2023,Colour: White,,Yes,vignesh,3.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2
The pin on the dial is not held well,The pin to set the date and time has fallen off just after a weeks use. But otherwise the watch seems of good quality,05 May 2023,Colour: Blue,,No,Sree D,3.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2
ok type,ok but not satisfied with product,16 May 2023,Colour: White,,Yes,Sachin kumar,3.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2
Smart watch,Good to use and looks nice,13 May 2023,Colour: White,,Yes,Hari Vignesh,3.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2
Good,The media could not be loaded.,13 Apr 2023,Colour: White,,Yes,ANNADURAI MUTHUKUMARAN,4.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2
Review about watch,Worth it..! Go ahead to buy this awesome watch,26 Apr 2023,Colour: White,"https://m.media-amazon.com/images/I/717G2QuuXzL._SY88.jpg
https://m.media-amazon.com/images/I/71f3oCizdUL._SY88.jpg
https://m.media-amazon.com/images/I/81kpxQOtteL._SY88.jpg",Yes,Rishabh maurya,3.0,TIMEWEAR Formal Day Date Watch Collection For Men Analogue Men's Watch(White Dial & Silver Colored Strap)-221Wdtg,https://www.amazon.in/product-reviews/B07MDGSP8F/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2
